Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)_missing,PT08.S1(CO)_missing,C6H6(GT)_missing,PT08.S2(NMHC)_missing,NOx(GT)_missing,PT08.S3(NOx)_missing,NO2(GT)_missing,PT08.S4(NO2)_missing,PT08.S5(O3)_missing,T_missing,RH_missing,AH_missing
10/03/2004,18.00.00,0.5953183970562396,1.261876477103598,0.3541166995054978,0.41840343565653876,-0.43938004780654866,0.9851156321412822,0.023474623445543026,0.713388249656356,0.6435211708264255,-0.5450236360424372,-0.01968910984071673,-0.6764822004398455,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2004,19.00.00,0.2082837423247064,0.9342446769565235,0.035108924514842176,0.06574319464878062,-0.8698820889144695,1.497110973936288,-0.489094318625879,0.31439528008424694,-0.1268508310555288,-0.5796880558879527,-0.09038590959226932,-0.758105724213862,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2004,20.00.00,0.33729529390188423,1.464237294841497,-0.01593231948366277,0.003736998427636337,-0.6785478484220602,1.3495868924021337,0.04788266830608693,0.3023954915256873,0.1386151966200095,-0.7414553485003593,0.2807722891033829,-0.6956877354454966,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2004,21.00.00,0.33729529390188423,1.3389663124323214,0.009588302515589588,0.03861548380203,-0.39837985341531806,1.1413176008245043,0.24314702719043815,0.3893939585752449,0.47435164338613145,-0.8454486080369064,0.6342562878611471,-0.6034506265367783,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2004,22.00.00,-0.04973936082964895,0.8378823827956192,-0.3349400944743184,-0.39542788974598003,-0.6785478484220602,1.6316182247468403,0.09669875802717474,0.10739892744909262,0.23230908874078773,-0.8223389948065627,0.6106906879439629,-0.5981438339694274,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2004,23.00.00,-0.3077624639840045,0.4765237796922282,-0.5646256924675904,-0.7287111944346305,-0.9655492091606741,2.2043587765853214,-0.3914621391837034,-0.18359594509597946,-0.1867108176882482,-0.8223389948065627,0.5871250880267787,-0.6082520102881908,0,0,0,0,0,0,0,0,0,0,0,0
11/03/2004,00.00.00,-0.3077624639840045,0.41870640319568564,-0.7049891134634789,-0.9612344302639216,-1.1500500839212116,2.482051165355494,-0.8552149915340376,-0.3635927734743745,-0.7488741704129176,-0.8107841881913906,0.44573148852367267,-0.6701645902406184,0,0,0,0,0,0,0,0,0,0,0,0
11/03/2004,01.00.00,-0.4367740155611821,0.18261878250147015,-0.7432700464623576,-1.030991401012709,-1.1500500839212116,2.482051165355494,-0.8796230363945814,-0.3635927734743745,-0.7566819947563157,-0.8801130278824222,0.6342562878611471,-0.6451468538516782,0,0,0,0,0,0,0,0,0,0,0,0
11/03/2004,02.00.00,-0.501279791349771,-0.01974203523642883,-0.8708731564586198,-1.2751407986334646,-1.2662173013630316,2.482051165355494,-1.2701517541632839,-0.5345897604338499,-1.0429688873475826,-0.8801130278824222,0.6165820879232591,-0.6587928918820091,0,0,0,0,0,0,0,0,0,0,0,0
11/03/2004,03.00.00,-0.6947971187155375,-0.4244636707122268,-0.9474350224563771,-1.4611593872968975,0.11341692831643446,2.482051165355494,0.025701877312272976,-0.6575875931590865,-1.352679252969044,-0.9263322543431096,0.6460390878197394,-0.69189716932596,0,0,0,0,1,0,1,0,0,0,0,0
11/03/2004,04.00.00,-1.2213769146829643,-0.4196455560041816,-0.9984762664548821,-1.592922554266829,-1.4302180789279537,2.482051165355494,-1.9047609205374254,-0.7715855844654034,-1.4984253073791434,-0.9494418675734535,0.6637132877576274,-0.7050377985403528,1,0,0,0,0,0,0,0,0,0,0,0
11/03/2004,05.00.00,-0.6302913429269487,-0.1546492470616948,-1.0239968884541346,-1.6510533632241517,-1.4643849075873125,2.482051165355494,-2.051209189700689,-0.8165847915600022,-1.5582852940118628,-0.8454486080369064,0.4103830886478966,-0.7300555349292929,0,0,0,0,0,0,0,0,0,0,0,0
