Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)_missing,PT08.S1(CO)_missing,C6H6(GT)_missing,PT08.S2(NMHC)_missing,NOx(GT)_missing,PT08.S3(NOx)_missing,NO2(GT)_missing,PT08.S4(NO2)_missing,PT08.S5(O3)_missing,T_missing,RH_missing,AH_missing,KMeans_Cluster,Hierarchical_Cluster,TSNE_1,TSNE_2
10/03/2004,18.00.00,0.5953183970562396,1.261876477103598,0.3541166995054978,0.4184034356565387,-0.4393800478065486,0.9851156321412822,0.023474623445543,0.713388249656356,0.6435211708264255,-0.5450236360424372,-0.0196891098407167,-0.6764822004398455,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35.55184,9.265505
10/03/2004,19.00.00,0.2082837423247064,0.9342446769565236,0.0351089245148421,0.0657431946487806,-0.8698820889144695,1.497110973936288,-0.489094318625879,0.3143952800842469,-0.1268508310555288,-0.5796880558879527,-0.0903859095922693,-0.758105724213862,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32.108017,5.12926
10/03/2004,20.00.00,0.3372952939018842,1.464237294841497,-0.0159323194836627,0.0037369984276363,-0.6785478484220602,1.3495868924021337,0.0478826683060869,0.3023954915256873,0.1386151966200095,-0.7414553485003593,0.2807722891033829,-0.6956877354454966,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32.498566,5.220699
10/03/2004,21.00.00,0.3372952939018842,1.3389663124323214,0.0095883025155895,0.03861548380203,-0.398379853415318,1.1413176008245045,0.2431470271904381,0.3893939585752449,0.4743516433861314,-0.8454486080369064,0.6342562878611471,-0.6034506265367783,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32.833263,5.406196
10/03/2004,22.00.00,-0.0497393608296489,0.8378823827956192,-0.3349400944743184,-0.39542788974598,-0.6785478484220602,1.6316182247468405,0.0966987580271747,0.1073989274490926,0.2323090887407877,-0.8223389948065627,0.6106906879439629,-0.5981438339694274,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32.33422,4.5499134
10/03/2004,23.00.00,-0.3077624639840045,0.4765237796922282,-0.5646256924675904,-0.7287111944346305,-0.965549209160674,2.204358776585321,-0.3914621391837034,-0.1835959450959794,-0.1867108176882482,-0.8223389948065627,0.5871250880267787,-0.6082520102881908,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-2.0215993,-2.3572764
11/03/2004,00.00.00,-0.3077624639840045,0.4187064031956856,-0.7049891134634789,-0.9612344302639216,-1.1500500839212116,2.482051165355494,-0.8552149915340376,-0.3635927734743745,-0.7488741704129176,-0.8107841881913906,0.4457314885236726,-0.6701645902406184,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-3.7220888,-3.038317
11/03/2004,01.00.00,-0.4367740155611821,0.1826187825014701,-0.7432700464623576,-1.030991401012709,-1.1500500839212116,2.482051165355494,-0.8796230363945814,-0.3635927734743745,-0.7566819947563157,-0.8801130278824222,0.6342562878611471,-0.6451468538516782,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-3.9923966,-3.024055
11/03/2004,02.00.00,-0.501279791349771,-0.0197420352364288,-0.8708731564586198,-1.2751407986334646,-1.2662173013630316,2.482051165355494,-1.270151754163284,-0.5345897604338499,-1.0429688873475826,-0.8801130278824222,0.6165820879232591,-0.6587928918820091,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-13.670496,-2.520483
11/03/2004,03.00.00,-0.6947971187155375,-0.4244636707122268,-0.9474350224563772,-1.4611593872968975,0.1134169283164344,2.482051165355494,0.0257018773122729,-0.6575875931590865,-1.352679252969044,-0.9263322543431096,0.6460390878197394,-0.69189716932596,0,0,0,0,1,0,1,0,0,0,0,0,1,2,-64.251816,7.237792
